Code,Index,Market cap (m TL)
2.01.1997, 10 ," 2,992 "
3.01.1997, 10 ," 3,084 "
6.01.1997, 11 ," 3,143 "
7.01.1997, 11 ," 3,235 "
8.01.1997, 11 ," 3,408 "
9.01.1997, 11 ," 3,412 "
10.01.1997, 11 ," 3,424 "
13.01.1997, 11 ," 3,376 "
14.01.1997, 12 ," 3,456 "
15.01.1997, 12 ," 3,495 "
16.01.1997, 12 ," 3,491 "
17.01.1997, 12 ," 3,535 "
20.01.1997, 12 ," 3,568 "
21.01.1997, 12 ," 3,658 "
22.01.1997, 12 ," 3,750 "
23.01.1997, 13 ," 4,082 "
24.01.1997, 15 ," 4,556 "
27.01.1997, 16 ," 5,150 "
28.01.1997, 15 ," 4,591 "
29.01.1997, 15 ," 4,690 "
30.01.1997, 16 ," 4,806 "
31.01.1997, 16 ," 4,685 "
3.02.1997, 15 ," 4,606 "
4.02.1997, 14 ," 4,274 "
5.02.1997, 15 ," 4,377 "
6.02.1997, 15 ," 4,567 "
7.02.1997, 15 ," 4,564 "
10.02.1997, 15 ," 4,564 "
11.02.1997, 15 ," 4,564 "
12.02.1997, 16 ," 4,662 "
13.02.1997, 16 ," 4,715 "
14.02.1997, 15 ," 4,578 "
17.02.1997, 15 ," 4,590 "
18.02.1997, 16 ," 4,749 "
19.02.1997, 16 ," 4,799 "
20.02.1997, 16 ," 4,857 "
21.02.1997, 16 ," 4,792 "
24.02.1997, 16 ," 4,851 "
25.02.1997, 16 ," 4,889 "
26.02.1997, 16 ," 4,856 "
27.02.1997, 16 ," 4,779 "
28.02.1997, 16 ," 4,840 "
3.03.1997, 15 ," 4,568 "
4.03.1997, 14 ," 4,377 "
5.03.1997, 14 ," 4,174 "
6.03.1997, 15 ," 4,474 "
7.03.1997, 14 ," 4,357 "
10.03.1997, 14 ," 4,449 "
11.03.1997, 15 ," 4,522 "
12.03.1997, 14 ," 4,409 "
13.03.1997, 15 ," 4,661 "
14.03.1997, 15 ," 4,668 "
17.03.1997, 16 ," 4,904 "
18.03.1997, 16 ," 4,980 "
19.03.1997, 16 ," 5,127 "
20.03.1997, 16 ," 5,129 "
21.03.1997, 16 ," 5,069 "
24.03.1997, 16 ," 5,084 "
25.03.1997, 16 ," 4,860 "
26.03.1997, 16 ," 4,917 "
27.03.1997, 15 ," 4,688 "
28.03.1997, 15 ," 4,892 "
31.03.1997, 16 ," 5,155 "
1.04.1997, 16 ," 5,023 "
2.04.1997, 16 ," 5,252 "
3.04.1997, 15 ," 5,207 "
4.04.1997, 15 ," 5,210 "
7.04.1997, 15 ," 5,080 "
8.04.1997, 15 ," 5,177 "
9.04.1997, 15 ," 5,083 "
10.04.1997, 15 ," 4,950 "
11.04.1997, 15 ," 4,916 "
14.04.1997, 15 ," 4,921 "
15.04.1997, 15 ," 5,056 "
16.04.1997, 15 ," 5,019 "
17.04.1997, 15 ," 5,056 "
18.04.1997, 15 ," 5,056 "
21.04.1997, 15 ," 5,056 "
22.04.1997, 15 ," 5,056 "
23.04.1997, 15 ," 5,052 "
24.04.1997, 14 ," 4,740 "
25.04.1997, 14 ," 4,802 "
28.04.1997, 14 ," 4,747 "
29.04.1997, 14 ," 4,705 "
30.04.1997, 14 ," 4,657 "
1.05.1997, 14 ," 4,769 "
2.05.1997, 14 ," 4,652 "
