Date , TL/USD , TL/Euro 
31.12.1987, 0.001 ,
1.01.1988, 0.001 ,
4.01.1988, 0.001 ,
5.01.1988, 0.001 ,
6.01.1988, 0.001 ,
7.01.1988, 0.001 ,
8.01.1988, 0.001 ,
11.01.1988, 0.001 ,
12.01.1988, 0.001 ,
13.01.1988, 0.001 ,
14.01.1988, 0.001 ,
15.01.1988, 0.001 ,
18.01.1988, 0.001 ,
19.01.1988, 0.001 ,
20.01.1988, 0.001 ,
21.01.1988, 0.001 ,
22.01.1988, 0.001 ,
25.01.1988, 0.001 ,
26.01.1988, 0.001 ,
27.01.1988, 0.001 ,
28.01.1988, 0.001 ,
29.01.1988, 0.001 ,
1.02.1988, 0.001 ,
2.02.1988, 0.001 ,
3.02.1988, 0.001 ,
4.02.1988, 0.001 ,
5.02.1988, 0.001 ,
8.02.1988, 0.001 ,
9.02.1988, 0.001 ,
10.02.1988, 0.001 ,
11.02.1988, 0.001 ,
12.02.1988, 0.001 ,
15.02.1988, 0.001 ,
16.02.1988, 0.001 ,
17.02.1988, 0.001 ,
18.02.1988, 0.001 ,
19.02.1988, 0.001 ,
22.02.1988, 0.001 ,
23.02.1988, 0.001 ,
24.02.1988, 0.001 ,
25.02.1988, 0.001 ,
26.02.1988, 0.001 ,
29.02.1988, 0.001 ,
1.03.1988, 0.001 ,
2.03.1988, 0.001 ,
3.03.1988, 0.001 ,
4.03.1988, 0.001 ,
7.03.1988, 0.001 ,
8.03.1988, 0.001 ,
9.03.1988, 0.001 ,
10.03.1988, 0.001 ,
11.03.1988, 0.001 ,
14.03.1988, 0.001 ,
15.03.1988, 0.001 ,
16.03.1988, 0.001 ,
17.03.1988, 0.001 ,
18.03.1988, 0.001 ,
21.03.1988, 0.001 ,
22.03.1988, 0.001 ,
23.03.1988, 0.001 ,
24.03.1988, 0.001 ,
25.03.1988, 0.001 ,
28.03.1988, 0.001 ,
29.03.1988, 0.001 ,
30.03.1988, 0.001 ,
31.03.1988, 0.001 ,
1.04.1988, 0.001 ,
4.04.1988, 0.001 ,
5.04.1988, 0.001 ,
6.04.1988, 0.001 ,
7.04.1988, 0.001 ,
8.04.1988, 0.001 ,
11.04.1988, 0.001 ,
12.04.1988, 0.001 ,
13.04.1988, 0.001 ,
14.04.1988, 0.001 ,
15.04.1988, 0.001 ,
18.04.1988, 0.001 ,
19.04.1988, 0.001 ,
20.04.1988, 0.001 ,
21.04.1988, 0.001 ,
22.04.1988, 0.001 ,
25.04.1988, 0.001 ,
26.04.1988, 0.001 ,
27.04.1988, 0.001 ,
28.04.1988, 0.001 ,
29.04.1988, 0.001 ,
2.05.1988, 0.001 ,
3.05.1988, 0.001 ,
4.05.1988, 0.001 ,
5.05.1988, 0.001 ,
6.05.1988, 0.001 ,
9.05.1988, 0.001 ,
10.05.1988, 0.001 ,
11.05.1988, 0.001 ,
12.05.1988, 0.001 ,
13.05.1988, 0.001 ,
16.05.1988, 0.001 ,
17.05.1988, 0.001 ,
18.05.1988, 0.001 ,
19.05.1988, 0.001 ,
20.05.1988, 0.001 ,
23.05.1988, 0.001 ,
24.05.1988, 0.001 ,
25.05.1988, 0.001 ,
26.05.1988, 0.001 ,
27.05.1988, 0.001 ,
30.05.1988, 0.001 ,
31.05.1988, 0.001 ,
1.06.1988, 0.001 ,
2.06.1988, 0.001 ,
3.06.1988, 0.001 ,
6.06.1988, 0.001 ,
7.06.1988, 0.001 ,
8.06.1988, 0.001 ,
9.06.1988, 0.001 ,
10.06.1988, 0.001 ,
13.06.1988, 0.001 ,
14.06.1988, 0.001 ,
15.06.1988, 0.001 ,
16.06.1988, 0.001 ,
17.06.1988, 0.001 ,
20.06.1988, 0.001 ,
21.06.1988, 0.001 ,
22.06.1988, 0.001 ,
23.06.1988, 0.001 ,
24.06.1988, 0.001 ,
27.06.1988, 0.001 ,
28.06.1988, 0.001 ,
29.06.1988, 0.001 ,
30.06.1988, 0.001 ,
1.07.1988, 0.001 ,
4.07.1988, 0.001 ,
5.07.1988, 0.001 ,
6.07.1988, 0.001 ,
7.07.1988, 0.001 ,
8.07.1988, 0.001 ,
11.07.1988, 0.001 ,
12.07.1988, 0.001 ,
13.07.1988, 0.001 ,
14.07.1988, 0.001 ,
15.07.1988, 0.001 ,
18.07.1988, 0.001 ,
19.07.1988, 0.001 ,
20.07.1988, 0.001 ,
21.07.1988, 0.001 ,
22.07.1988, 0.001 ,
25.07.1988, 0.001 ,
26.07.1988, 0.001 ,
27.07.1988, 0.001 ,
28.07.1988, 0.001 ,
29.07.1988, 0.001 ,
1.08.1988, 0.001 ,
2.08.1988, 0.001 ,
3.08.1988, 0.001 ,
4.08.1988, 0.001 ,
5.08.1988, 0.001 ,
8.08.1988, 0.001 ,
9.08.1988, 0.001 ,
10.08.1988, 0.001 ,
11.08.1988, 0.001 ,
12.08.1988, 0.001 ,
15.08.1988, 0.001 ,
16.08.1988, 0.001 ,
17.08.1988, 0.001 ,
18.08.1988, 0.001 ,
19.08.1988, 0.001 ,
22.08.1988, 0.001 ,
23.08.1988, 0.001 ,
24.08.1988, 0.001 ,
25.08.1988, 0.001 ,
26.08.1988, 0.001 ,
29.08.1988, 0.001 ,
30.08.1988, 0.001 ,
31.08.1988, 0.002 ,
1.09.1988, 0.002 ,
2.09.1988, 0.002 ,
5.09.1988, 0.002 ,
6.09.1988, 0.002 ,
7.09.1988, 0.002 ,
8.09.1988, 0.002 ,
9.09.1988, 0.002 ,
12.09.1988, 0.002 ,
13.09.1988, 0.002 ,
14.09.1988, 0.002 ,
15.09.1988, 0.002 ,
16.09.1988, 0.002 ,
19.09.1988, 0.002 ,
20.09.1988, 0.002 ,
21.09.1988, 0.002 ,
22.09.1988, 0.002 ,
23.09.1988, 0.002 ,
26.09.1988, 0.002 ,
27.09.1988, 0.002 ,
28.09.1988, 0.002 ,
29.09.1988, 0.002 ,
30.09.1988, 0.002 ,
3.10.1988, 0.002 ,
4.10.1988, 0.002 ,
5.10.1988, 0.002 ,
6.10.1988, 0.002 ,
7.10.1988, 0.002 ,
10.10.1988, 0.002 ,
11.10.1988, 0.002 ,
12.10.1988, 0.002 ,
13.10.1988, 0.002 ,
14.10.1988, 0.002 ,
17.10.1988, 0.002 ,
18.10.1988, 0.002 ,
19.10.1988, 0.002 ,
20.10.1988, 0.002 ,
21.10.1988, 0.002 ,
24.10.1988, 0.002 ,
25.10.1988, 0.002 ,
26.10.1988, 0.002 ,
27.10.1988, 0.002 ,
28.10.1988, 0.002 ,
31.10.1988, 0.002 ,
1.11.1988, 0.002 ,
2.11.1988, 0.002 ,
3.11.1988, 0.002 ,
4.11.1988, 0.002 ,
7.11.1988, 0.002 ,
8.11.1988, 0.002 ,
9.11.1988, 0.002 ,
10.11.1988, 0.002 ,
11.11.1988, 0.002 ,
14.11.1988, 0.002 ,
15.11.1988, 0.002 ,
16.11.1988, 0.002 ,
17.11.1988, 0.002 ,
18.11.1988, 0.002 ,
21.11.1988, 0.002 ,
22.11.1988, 0.002 ,
23.11.1988, 0.002 ,
24.11.1988, 0.002 ,
25.11.1988, 0.002 ,
28.11.1988, 0.002 ,
29.11.1988, 0.002 ,
30.11.1988, 0.002 ,
1.12.1988, 0.002 ,
2.12.1988, 0.002 ,
5.12.1988, 0.002 ,
6.12.1988, 0.002 ,
7.12.1988, 0.002 ,
8.12.1988, 0.002 ,
9.12.1988, 0.002 ,
12.12.1988, 0.002 ,
13.12.1988, 0.002 ,
14.12.1988, 0.002 ,
15.12.1988, 0.002 ,
16.12.1988, 0.002 ,
19.12.1988, 0.002 ,
20.12.1988, 0.002 ,
21.12.1988, 0.002 ,
22.12.1988, 0.002 ,
23.12.1988, 0.002 ,
26.12.1988, 0.002 ,
27.12.1988, 0.002 ,
28.12.1988, 0.002 ,
29.12.1988, 0.002 ,
30.12.1988, 0.002 ,
2.01.1989, 0.002 ,
3.01.1989, 0.002 ,
4.01.1989, 0.002 ,
5.01.1989, 0.002 ,
6.01.1989, 0.002 ,
9.01.1989, 0.002 ,
10.01.1989, 0.002 ,
11.01.1989, 0.002 ,
12.01.1989, 0.002 ,
13.01.1989, 0.002 ,
16.01.1989, 0.002 ,
17.01.1989, 0.002 ,
18.01.1989, 0.002 ,
19.01.1989, 0.002 ,
20.01.1989, 0.002 ,
23.01.1989, 0.002 ,
24.01.1989, 0.002 ,
25.01.1989, 0.002 ,
26.01.1989, 0.002 ,
27.01.1989, 0.002 ,
30.01.1989, 0.002 ,
31.01.1989, 0.002 ,
1.02.1989, 0.002 ,
2.02.1989, 0.002 ,
3.02.1989, 0.002 ,
6.02.1989, 0.002 ,
7.02.1989, 0.002 ,
8.02.1989, 0.002 ,
9.02.1989, 0.002 ,
10.02.1989, 0.002 ,
13.02.1989, 0.002 ,
14.02.1989, 0.002 ,
15.02.1989, 0.002 ,
16.02.1989, 0.002 ,
17.02.1989, 0.002 ,
20.02.1989, 0.002 ,
21.02.1989, 0.002 ,
22.02.1989, 0.002 ,
23.02.1989, 0.002 ,
24.02.1989, 0.002 ,
27.02.1989, 0.002 ,
28.02.1989, 0.002 ,
1.03.1989, 0.002 ,
2.03.1989, 0.002 ,
3.03.1989, 0.002 ,
6.03.1989, 0.002 ,
7.03.1989, 0.002 ,
8.03.1989, 0.002 ,
9.03.1989, 0.002 ,
10.03.1989, 0.002 ,
13.03.1989, 0.002 ,
14.03.1989, 0.002 ,
15.03.1989, 0.002 ,
16.03.1989, 0.002 ,
17.03.1989, 0.002 ,
20.03.1989, 0.002 ,
21.03.1989, 0.002 ,
22.03.1989, 0.002 ,
23.03.1989, 0.002 ,
24.03.1989, 0.002 ,
27.03.1989, 0.002 ,
28.03.1989, 0.002 ,
29.03.1989, 0.002 ,
30.03.1989, 0.002 ,
31.03.1989, 0.002 ,
3.04.1989, 0.002 ,
4.04.1989, 0.002 ,
5.04.1989, 0.002 ,
6.04.1989, 0.002 ,
7.04.1989, 0.002 ,
10.04.1989, 0.002 ,
11.04.1989, 0.002 ,
12.04.1989, 0.002 ,
13.04.1989, 0.002 ,
14.04.1989, 0.002 ,
17.04.1989, 0.002 ,
18.04.1989, 0.002 ,
19.04.1989, 0.002 ,
20.04.1989, 0.002 ,
21.04.1989, 0.002 ,
24.04.1989, 0.002 ,
25.04.1989, 0.002 ,
26.04.1989, 0.002 ,
27.04.1989, 0.002 ,
28.04.1989, 0.002 ,
1.05.1989, 0.002 ,
2.05.1989, 0.002 ,
3.05.1989, 0.002 ,
4.05.1989, 0.002 ,
5.05.1989, 0.002 ,
8.05.1989, 0.002 ,
9.05.1989, 0.002 ,
10.05.1989, 0.002 ,
11.05.1989, 0.002 ,
12.05.1989, 0.002 ,
15.05.1989, 0.002 ,
16.05.1989, 0.002 ,
17.05.1989, 0.002 ,
18.05.1989, 0.002 ,
19.05.1989, 0.002 ,
22.05.1989, 0.002 ,
23.05.1989, 0.002 ,
24.05.1989, 0.002 ,
25.05.1989, 0.002 ,
26.05.1989, 0.002 ,
29.05.1989, 0.002 ,
30.05.1989, 0.002 ,
31.05.1989, 0.002 ,
1.06.1989, 0.002 ,
2.06.1989, 0.002 ,
5.06.1989, 0.002 ,
6.06.1989, 0.002 ,
7.06.1989, 0.002 ,
8.06.1989, 0.002 ,
9.06.1989, 0.002 ,
12.06.1989, 0.002 ,
13.06.1989, 0.002 ,
14.06.1989, 0.002 ,
15.06.1989, 0.002 ,
16.06.1989, 0.002 ,
19.06.1989, 0.002 ,
20.06.1989, 0.002 ,
21.06.1989, 0.002 ,
22.06.1989, 0.002 ,
23.06.1989, 0.002 ,
26.06.1989, 0.002 ,
27.06.1989, 0.002 ,
28.06.1989, 0.002 ,
29.06.1989, 0.002 ,
30.06.1989, 0.002 ,
3.07.1989, 0.002 ,
4.07.1989, 0.002 ,
5.07.1989, 0.002 ,
6.07.1989, 0.002 ,
7.07.1989, 0.002 ,
10.07.1989, 0.002 ,
11.07.1989, 0.002 ,
12.07.1989, 0.002 ,
13.07.1989, 0.002 ,
14.07.1989, 0.002 ,
17.07.1989, 0.002 ,
18.07.1989, 0.002 ,
19.07.1989, 0.002 ,
20.07.1989, 0.002 ,
21.07.1989, 0.002 ,
24.07.1989, 0.002 ,
25.07.1989, 0.002 ,
26.07.1989, 0.002 ,
27.07.1989, 0.002 ,
28.07.1989, 0.002 ,
31.07.1989, 0.002 ,
1.08.1989, 0.002 ,
2.08.1989, 0.002 ,
3.08.1989, 0.002 ,
4.08.1989, 0.002 ,
7.08.1989, 0.002 ,
8.08.1989, 0.002 ,
9.08.1989, 0.002 ,
10.08.1989, 0.002 ,
11.08.1989, 0.002 ,
14.08.1989, 0.002 ,
15.08.1989, 0.002 ,
16.08.1989, 0.002 ,
17.08.1989, 0.002 ,
18.08.1989, 0.002 ,
21.08.1989, 0.002 ,
22.08.1989, 0.002 ,
23.08.1989, 0.002 ,
24.08.1989, 0.002 ,
