Date,Price ($/t oz)
3.01.1968, 35 
4.01.1968, 35 
5.01.1968, 35 
8.01.1968, 35 
9.01.1968, 35 
10.01.1968, 35 
11.01.1968, 35 
12.01.1968, 35 
15.01.1968, 35 
16.01.1968, 35 
17.01.1968, 35 
18.01.1968, 35 
19.01.1968, 35 
22.01.1968, 35 
23.01.1968, 35 
24.01.1968, 35 
25.01.1968, 35 
26.01.1968, 35 
29.01.1968, 35 
30.01.1968, 35 
31.01.1968, 35 
1.02.1968, 35 
2.02.1968, 35 
5.02.1968, 35 
6.02.1968, 35 
7.02.1968, 35 
8.02.1968, 35 
9.02.1968, 35 
12.02.1968, 35 
13.02.1968, 35 
14.02.1968, 35 
15.02.1968, 35 
16.02.1968, 35 
19.02.1968, 35 
20.02.1968, 35 
21.02.1968, 35 
22.02.1968, 35 
23.02.1968, 35 
26.02.1968, 35 
27.02.1968, 35 
28.02.1968, 35 
29.02.1968, 35 
1.03.1968, 35 
4.03.1968, 35 
5.03.1968, 35 
6.03.1968, 35 
7.03.1968, 35 
8.03.1968, 35 
11.03.1968, 35 
12.03.1968, 35 
13.03.1968, 35 
14.03.1968, 35 
15.03.1968, 35 
18.03.1968, 35 
19.03.1968, 35 
20.03.1968, 36 
21.03.1968, 36 
22.03.1968, 36 
25.03.1968, 36 
26.03.1968, 36 
27.03.1968, 39 
28.03.1968, 39 
29.03.1968, 39 
1.04.1968, 39 
2.04.1968, 39 
3.04.1968, 38 
4.04.1968, 38 
5.04.1968, 38 
8.04.1968, 38 
9.04.1968, 38 
10.04.1968, 38 
11.04.1968, 38 
12.04.1968, 38 
15.04.1968, 38 
16.04.1968, 38 
17.04.1968, 38 
18.04.1968, 38 
19.04.1968, 38 
22.04.1968, 38 
23.04.1968, 38 
24.04.1968, 39 
25.04.1968, 39 
26.04.1968, 39 
29.04.1968, 39 
30.04.1968, 39 
1.05.1968, 40 
2.05.1968, 40 
3.05.1968, 40 
6.05.1968, 40 
7.05.1968, 40 
8.05.1968, 40 
9.05.1968, 40 
10.05.1968, 40 
13.05.1968, 40 
14.05.1968, 40 
15.05.1968, 42 
16.05.1968, 42 
17.05.1968, 42 
20.05.1968, 42 
21.05.1968, 42 
22.05.1968, 42 
23.05.1968, 42 
24.05.1968, 42 
27.05.1968, 42 
28.05.1968, 42 
29.05.1968, 41 
30.05.1968, 41 
31.05.1968, 41 
3.06.1968, 41 
4.06.1968, 41 
5.06.1968, 42 
6.06.1968, 42 
7.06.1968, 42 
10.06.1968, 42 
11.06.1968, 42 
12.06.1968, 41 
13.06.1968, 41 
14.06.1968, 41 
17.06.1968, 41 
18.06.1968, 41 
19.06.1968, 41 
20.06.1968, 41 
21.06.1968, 41 
24.06.1968, 41 
25.06.1968, 41 
26.06.1968, 41 
27.06.1968, 41 
28.06.1968, 41 
1.07.1968, 41 
2.07.1968, 41 
3.07.1968, 40 
4.07.1968, 40 
5.07.1968, 40 
8.07.1968, 40 
9.07.1968, 40 
10.07.1968, 38 
11.07.1968, 38 
12.07.1968, 38 
15.07.1968, 38 
16.07.1968, 38 
17.07.1968, 39 
18.07.1968, 39 
19.07.1968, 39 
22.07.1968, 39 
23.07.1968, 39 
24.07.1968, 39 
25.07.1968, 39 
26.07.1968, 39 
29.07.1968, 39 
30.07.1968, 39 
31.07.1968, 39 
1.08.1968, 39 
2.08.1968, 39 
5.08.1968, 39 
6.08.1968, 39 
7.08.1968, 39 
8.08.1968, 39 
9.08.1968, 39 
12.08.1968, 39 
13.08.1968, 39 
14.08.1968, 40 
15.08.1968, 40 
16.08.1968, 40 
19.08.1968, 40 
20.08.1968, 40 
21.08.1968, 40 
22.08.1968, 40 
23.08.1968, 40 
26.08.1968, 40 
27.08.1968, 40 
28.08.1968, 40 
29.08.1968, 40 
30.08.1968, 40 
2.09.1968, 40 
3.09.1968, 40 
4.09.1968, 40 
5.09.1968, 40 
6.09.1968, 40 
9.09.1968, 40 
10.09.1968, 40 
11.09.1968, 41 
12.09.1968, 41 
13.09.1968, 41 
16.09.1968, 41 
17.09.1968, 41 
18.09.1968, 40 
19.09.1968, 40 
20.09.1968, 40 
23.09.1968, 40 
24.09.1968, 40 
25.09.1968, 39 
26.09.1968, 39 
27.09.1968, 39 
30.09.1968, 39 
1.10.1968, 39 
2.10.1968, 39 
3.10.1968, 39 
4.10.1968, 39 
7.10.1968, 39 
8.10.1968, 39 
9.10.1968, 39 
10.10.1968, 39 
11.10.1968, 39 
14.10.1968, 39 
15.10.1968, 39 
